dla; eat;;English;Singular;NC;Plural;NC
thenga;buy;;Tree;isihlahla;7;izihlahla;8
funda;read;;Plant;isitshalo;7;izitshalo;8
bhala;write;;Elephant;indlovu;9;izindlovu;10
gqoka;wear;;Meal;isidlo;7;izidlo;8
thola;find;;Meat;inyama;9;izinyama;10
bona;see;;Herbivore;ihebhivo;5;amahebhivo;6
dla; eat;;wine;iwayini;5;iwayini;5
enza;make;;grape;igilebhisi;5;amagilebhisi;6
dla ;eat;;region;isifunda;7;izifunda;8
;;;bottle;ibhodlela;5;amabhodlela;6
;;;university;inyuvesi;9;izinyuvesi;10
;;;lecturer;umfundisi;1;abafundisi;2
;;;undergraduate student;umfundi we-undergraduate;1;abafundi be-undergraduate;2
;;;course;umzila;3;imizila;4
;;;doctor;udokotela;1a;odokotela;2a
;;;dog;inja;9;izinja;10
;;;bird;inyoni;9;izinyoni;10
;;;owner;umnini;3;iminini;4
;;;pet;isilwane esifuyiweyo;7;izilwane ezifuyiweyo;8
;;;toy;ithoyizi;5;amathoyizi;6
;;;building;isakhiwo;7;izakhiwo;8
;;;room;igumbi;5;amagumbi;6
;;;wall;udonga;1a;odonga;2a
;;;cottage;indlwana;9;izindlwana;10
;;;window;iwindi;5;amawindi;6
;;;king;iNkosi;9;iziNkosi;10
;;;president;umengammeli;1a;abengammeli;2a
;;;council;umkhandlu;3;imikhandlu;4
;;;committee;ikomidi;5;amakomidi;6
;;;parliament;iphalamende;5;amaphalamende;6
;;;representative;ummeli;1;abameli;2
;;;mediator;umlamuleli;1a;omlamuleli;2a
;;;nurse;unesi;1a;onesi;2a
;;;medicine;umuthi;3;imithi;4
;;;pill;iphilisi;5;amaphilisi;6
;;;symptom;uphawu;11;iziphawu;10
;;;stomach;isisu;7;izisu;8
;;;leg;unyawo;11;izinyawo;10
;;;eye;ihlo;5;amahlo;6
;;;camera;isithwebuli;7;izithwebuli;8
;;;hotel;ihhotela;5;amahhotela;6
;;;beach;ibhishi;5;amabhishi;6
;;;holiday;iholidi;5;amaholidi;6
;;;ice cream;ukhilimu oyiqhwa;3a;okhilimu abayiqhwa;2a
;;;swimming pool;indawo yokubhukuda;9;izindawo zokubhukuda;10
;;;water;;;amanzi;6
;;;orange (the fruit);ihholitshi;5;amahholitshi;6
;;;green (the colour);uhlaza;11;izihlaza;10
;;;potato;izambane;5;amazambane;6
;;;key;ukhiye;1a;okhiye;2a
;;;airplane;ibhanoyi;5;amabhanoyi;6
;;;car;imoto;9;izimoto;10
;;;money;imali;9;izimali;10
;;;police;iphoyisa;5;amaphoyisa;6
;;;tea;itiye;5;amatiye;6
;;;flood;isikukhukhula;7;izikukhukhula;8
;;;ditch;umgodi;3;imigodi;4
;;;field (in the sense of veld/grassfield);insimu;9;izinsimu;10
;;;mountain;intaba;9;izintaba;10
;;;river;umfula;3;imifula;4
;;;sea;ulwandle;11;izilwandle;10
;;;fish;ufishi;3a;ofishi;2a
;;;land;umhlaba;3;imihlaba;4
;;;country;izwe;5;amazwe;6
;;;raspberry;ijikijolo;5;amajikijolo;6
;;;samp;isitambu;7;izitambu;8
;;;chicken;inkukhu;9;izinkukhu;10
;;;cafe inkantini/ishabhini;inkantini;9;izinkantini;10
;;;book;incwadi;9;izincwadi;10
;;;ball;ibhola;5;amabhola;6
;;;worker;umsebenzi;1a;omsebenzi;2a
;;;company (the one one works for);inkampani;9;izinkampani;10
;;;society;umphakathi;3;imiphakathi;4
;;;box;ibhokisi;5;amabhokisi;6
;;;pot (for cooking);ibhodwe;5;amabhodwe;6
;;;computer;ikhompyutha;5;amakhompyutha;6
;;;pipe;ipayipi;5;amapayipi;6
;;;pie;uphaya;1a;ophaya;2a
;;;news;indaba;9;izindaba;10
;;;speaker (the person);isikhulumi;7;izikhulumi;8
;;;shoe;isicathulo;7;izicathulo;8
